,botanist,images,last_watered,name,origin_location,plant_id,recording_taken,scientific_name,soil_moisture,temperature,error
0,"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '(146)994-1635x35992'}","{'license': 45, 'license_name': 'Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en', 'medium_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/medium/2560px-Epipremnum_aureum_31082012.jpg', 'original_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/og/2560px-Epipremnum_aureum_31082012.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/regular/2560px-Epipremnum_aureum_31082012.jpg', 'small_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/small/2560px-Epipremnum_aureum_31082012.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/thumbnail/2560px-Epipremnum_aureum_31082012.jpg'}","Mon, 05 Aug 2024 14:03:04 GMT",Epipremnum Aureum,"['-19.32556', '-41.25528', 'Resplendor', 'BR', 'America/Sao_Paulo']",0,2024-08-06 11:18:06,['Epipremnum aureum'],25.941771794772507,13.152129356466224,
1,,,,,,1,,,,,plant sensor fault
2,"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '(146)994-1635x35992'}",,"Mon, 05 Aug 2024 14:10:54 GMT",Corpse flower,"['7.65649', '4.92235', 'Efon-Alaaye', 'NG', 'Africa/Lagos']",2,2024-08-06 11:18:08,,30.81525209827116,9.108544644477265,
3,"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '(846)669-6651x75948'}",,"Mon, 05 Aug 2024 14:50:16 GMT",Rafflesia arnoldii,"['-19.32556', '-41.25528', 'Resplendor', 'BR', 'America/Sao_Paulo']",3,2024-08-06 11:18:07,,29.230194196926035,9.980962094231234,
4,"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '(146)994-1635x35992'}",,"Mon, 05 Aug 2024 13:16:25 GMT",Black bat flower,"['13.70167', '-89.10944', 'Ilopango', 'SV', 'America/El_Salvador']",4,2024-08-06 11:18:06,,21.17129713220676,11.3180139056468,
5,"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '(146)994-1635x35992'}","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}","Mon, 05 Aug 2024 14:56:18 GMT",Pitcher plant,"['22.88783', '84.13864', 'Jashpurnagar', 'IN', 'Asia/Kolkata']",5,2024-08-06 11:18:08,['Sarracenia catesbaei'],30.642783167455065,11.17335757389357,
6,"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '(846)669-6651x75948'}","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}","Mon, 05 Aug 2024 13:35:35 GMT",Wollemi pine,"['43.86682', '-79.2663', 'Markham', 'CA', 'America/Toronto']",6,2024-08-06 11:18:07,['Wollemia nobilis'],27.569144529193693,10.956469077650304,
7,,,,,,7,,,,,plant not found
8,"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '(846)669-6651x75948'}","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}","Mon, 05 Aug 2024 13:23:01 GMT",Bird of paradise,"['5.27247', '-3.59625', 'Bonoua', 'CI', 'Africa/Abidjan']",8,2024-08-06 11:18:08,"[""Heliconia schiedeana 'Fire and Ice'""]",21.56331354174951,11.506698310925396,
9,"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '001-481-273-3691x127'}","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}","Mon, 05 Aug 2024 14:12:43 GMT",Cactus,"['50.9803', '11.32903', 'Weimar', 'DE', 'Europe/Berlin']",9,2024-08-06 11:18:06,['Pereskia grandifolia'],26.643579718840584,10.588424654194759,
10,"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '001-481-273-3691x127'}",,"Mon, 05 Aug 2024 13:04:57 GMT","Dragon tree,","['43.50891', '16.43915', 'Split', 'HR', 'Europe/Zagreb']",10,2024-08-06 11:18:09,,22.861459821600775,13.94132383941797,
11,"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '001-481-273-3691x127'}","{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/1007_asclepias_curassavica/medium/51757177616_7ca0baaa87_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/1007_asclepias_curassavica/og/51757177616_7ca0baaa87_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/1007_asclepias_curassavica/regular/51757177616_7ca0baaa87_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/1007_asclepias_curassavica/small/51757177616_7ca0baaa87_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/1007_asclepias_curassavica/thumbnail/51757177616_7ca0baaa87_b.jpg'}","Mon, 05 Aug 2024 13:37:24 GMT",Asclepias Curassavica,"['20.88953', '-156.47432', 'Kahului', 'US', 'Pacific/Honolulu']",11,2024-08-06 11:18:09,['Asclepias curassavica'],26.92379922097379,9.450084422511988,
12,"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '(846)669-6651x75948'}",,"Mon, 05 Aug 2024 13:13:51 GMT",Brugmansia X Candida,"['32.5007', '-94.74049', 'Longview', 'US', 'America/Chicago']",12,2024-08-06 11:18:10,,21.94510848035364,12.780873095179718,
13,"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '(846)669-6651x75948'}",,"Mon, 05 Aug 2024 13:36:47 GMT",Canna ‘Striata’,"['49.68369', '8.61839', 'Bensheim', 'DE', 'Europe/Berlin']",13,2024-08-06 11:18:12,,28.428012503208066,9.509167421159137,
14,"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '001-481-273-3691x127'}","{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/2015_colocasia_esculenta/medium/24325097844_14719030a3_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/2015_colocasia_esculenta/og/24325097844_14719030a3_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2015_colocasia_esculenta/regular/24325097844_14719030a3_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/2015_colocasia_esculenta/small/24325097844_14719030a3_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2015_colocasia_esculenta/thumbnail/24325097844_14719030a3_b.jpg'}","Mon, 05 Aug 2024 14:17:54 GMT",Colocasia Esculenta,"['29.65163', '-82.32483', 'Gainesville', 'US', 'America/New_York']",14,2024-08-06 11:18:09,['Colocasia esculenta'],28.86595419755409,13.115829449394754,
15,"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '001-481-273-3691x127'}",,"Mon, 05 Aug 2024 13:45:31 GMT",Cuphea ‘David Verity’,"['36.08497', '9.37082', 'Siliana', 'TN', 'Africa/Tunis']",15,2024-08-06 11:18:11,,23.96017851372548,9.968991459248242,
16,,,,,,16,,,,,plant sensor fault
17,"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '(146)994-1635x35992'}","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}","Mon, 05 Aug 2024 14:02:40 GMT",Ipomoea Batatas,"['-7.51611', '109.05389', 'Wangon', 'ID', 'Asia/Jakarta']",17,2024-08-06 11:18:10,['Ipomoea batatas'],25.77013175848691,23.482874326341573,
18,"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '(146)994-1635x35992'}",,"Mon, 05 Aug 2024 14:29:39 GMT",Manihot Esculenta ‘Variegata’,"['51.30001', '13.10984', 'Oschatz', 'DE', 'Europe/Berlin']",18,2024-08-06 11:18:12,,27.26873773203883,9.011586442850643,
19,"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '001-481-273-3691x127'}","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}","Mon, 05 Aug 2024 13:24:30 GMT",Musa Basjoo,"['-21.44236', '27.46153', 'Tonota', 'BW', 'Africa/Gaborone']",19,2024-08-06 11:18:11,['Musa basjoo'],26.540562529356947,13.85264718462858,
20,"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '(146)994-1635x35992'}","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}","Mon, 05 Aug 2024 14:49:34 GMT",Salvia Splendens,"['41.15612', '1.10687', 'Reus', 'ES', 'Europe/Madrid']",20,2024-08-06 11:18:13,['Salvia splendens'],27.938172226783976,8.582305680087867,
